row_number,transaction_id,rule_id,field,value,error_message
10,TXN_4717867,DQ-REQ-ITE,Item,nan,Required field is missing.
32,TXN_1736287,DQ-REQ-ITE,Item,nan,Required field is missing.
63,TXN_8051289,DQ-REQ-ITE,Item,nan,Required field is missing.
74,TXN_6044979,DQ-REQ-ITE,Item,nan,Required field is missing.
91,TXN_4132730,DQ-REQ-ITE,Item,nan,Required field is missing.
102,TXN_9517146,DQ-REQ-ITE,Item,nan,Required field is missing.
153,TXN_4031509,DQ-REQ-ITE,Item,nan,Required field is missing.
170,TXN_3494565,DQ-REQ-ITE,Item,nan,Required field is missing.
199,TXN_5115080,DQ-REQ-ITE,Item,nan,Required field is missing.
205,TXN_8964522,DQ-REQ-ITE,Item,nan,Required field is missing.
249,TXN_9238066,DQ-REQ-ITE,Item,nan,Required field is missing.
271,TXN_8669422,DQ-REQ-ITE,Item,nan,Required field is missing.
291,TXN_3495950,DQ-REQ-ITE,Item,nan,Required field is missing.
313,TXN_5446858,DQ-REQ-ITE,Item,nan,Required field is missing.
336,TXN_2523298,DQ-REQ-ITE,Item,nan,Required field is missing.
358,TXN_8365478,DQ-REQ-ITE,Item,nan,Required field is missing.
364,TXN_8276635,DQ-REQ-ITE,Item,nan,Required field is missing.
371,TXN_9421441,DQ-REQ-ITE,Item,nan,Required field is missing.
390,TXN_3515730,DQ-REQ-ITE,Item,nan,Required field is missing.
444,TXN_4355728,DQ-REQ-ITE,Item,nan,Required field is missing.
484,TXN_4573576,DQ-REQ-ITE,Item,nan,Required field is missing.
525,TXN_5531712,DQ-REQ-ITE,Item,nan,Required field is missing.
537,TXN_3791639,DQ-REQ-ITE,Item,nan,Required field is missing.
607,TXN_9349962,DQ-REQ-ITE,Item,nan,Required field is missing.
649,TXN_9203920,DQ-REQ-ITE,Item,nan,Required field is missing.
665,TXN_6362093,DQ-REQ-ITE,Item,nan,Required field is missing.
701,TXN_6434414,DQ-REQ-ITE,Item,nan,Required field is missing.
761,TXN_7399897,DQ-REQ-ITE,Item,nan,Required field is missing.
771,TXN_7608816,DQ-REQ-ITE,Item,nan,Required field is missing.
773,TXN_3228823,DQ-REQ-ITE,Item,nan,Required field is missing.
808,TXN_9036453,DQ-REQ-ITE,Item,nan,Required field is missing.
817,TXN_3502743,DQ-REQ-ITE,Item,nan,Required field is missing.
820,TXN_7940202,DQ-REQ-ITE,Item,nan,Required field is missing.
879,TXN_3463928,DQ-REQ-ITE,Item,nan,Required field is missing.
882,TXN_2179458,DQ-REQ-ITE,Item,nan,Required field is missing.
903,TXN_9561832,DQ-REQ-ITE,Item,nan,Required field is missing.
949,TXN_5657259,DQ-REQ-ITE,Item,nan,Required field is missing.
974,TXN_6254003,DQ-REQ-ITE,Item,nan,Required field is missing.
977,TXN_6269119,DQ-REQ-ITE,Item,nan,Required field is missing.
992,TXN_5410185,DQ-REQ-ITE,Item,nan,Required field is missing.
993,TXN_5651348,DQ-REQ-ITE,Item,nan,Required field is missing.
1021,TXN_9084554,DQ-REQ-ITE,Item,nan,Required field is missing.
1030,TXN_8623443,DQ-REQ-ITE,Item,nan,Required field is missing.
1101,TXN_3008336,DQ-REQ-ITE,Item,nan,Required field is missing.
1151,TXN_4090904,DQ-REQ-ITE,Item,nan,Required field is missing.
1188,TXN_6191123,DQ-REQ-ITE,Item,nan,Required field is missing.
1200,TXN_1054915,DQ-REQ-ITE,Item,nan,Required field is missing.
1215,TXN_3331437,DQ-REQ-ITE,Item,nan,Required field is missing.
1231,TXN_2114258,DQ-REQ-ITE,Item,nan,Required field is missing.
1240,TXN_6565955,DQ-REQ-ITE,Item,nan,Required field is missing.
1284,TXN_9596100,DQ-REQ-ITE,Item,nan,Required field is missing.
1298,TXN_6359777,DQ-REQ-ITE,Item,nan,Required field is missing.
1318,TXN_3815345,DQ-REQ-ITE,Item,nan,Required field is missing.
